# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
10 16 0 6abe30
0 17 0 df7126
1 17 0 df7126
2 17 0 df7126
3 17 0 df7126
4 17 0 df7126
10 17 0 6abe30
0 18 0 df7126
10 18 0 6abe30
0 19 0 df7126
10 19 0 6abe30
0 20 0 df7126
10 20 0 6abe30
0 21 0 df7126
10 21 0 6abe30
0 22 0 df7126
10 22 0 6abe30
0 23 0 df7126
10 23 0 6abe30
0 24 0 df7126
10 24 0 6abe30
0 25 0 df7126
10 25 0 6abe30
0 26 0 df7126
10 26 0 6abe30
11 26 0 6abe30
12 26 0 6abe30
13 26 0 6abe30
14 26 0 6abe30
15 26 0 6abe30
0 27 0 df7126
1 27 0 df7126
2 27 0 df7126
3 27 0 df7126
4 27 0 df7126
10 27 0 6abe30
10 28 0 6abe30
10 29 0 6abe30
10 30 0 6abe30
10 31 0 6abe30
10 32 0 6abe30
10 33 0 6abe30
1 34 0 df7126
2 34 0 6abe30
3 34 0 6abe30
4 34 0 6abe30
5 34 0 6abe30
6 34 0 6abe30
7 34 0 6abe30
8 34 0 6abe30
9 34 0 6abe30
10 34 0 6abe30
1 35 0 df7126
10 35 0 6abe30
1 36 0 df7126
10 36 0 6abe30
0 37 0 df7126
1 37 0 df7126
2 37 0 df7126
3 37 0 df7126
4 37 0 df7126
5 37 0 df7126
6 37 0 df7126
10 37 0 6abe30
10 38 0 6abe30
10 39 0 6abe30
10 40 0 6abe30
10 41 0 6abe30
10 42 0 6abe30
10 43 0 6abe30
0 44 0 6abe30
1 44 0 6abe30
2 44 0 6abe30
3 44 0 6abe30
4 44 0 6abe30
5 44 0 6abe30
6 44 0 6abe30
7 44 0 6abe30
8 44 0 6abe30
9 44 0 6abe30
10 44 0 6abe30
-41 0 0 df7126
-33 0 0 df7126
-48 1 0 df7126
-47 1 0 df7126
-46 1 0 df7126
-45 1 0 df7126
-44 1 0 df7126
-43 1 0 df7126
-42 1 0 df7126
-41 1 0 df7126
-40 1 0 df7126
-39 1 0 df7126
-38 1 0 df7126
-37 1 0 df7126
-36 1 0 df7126
-35 1 0 df7126
-34 1 0 df7126
-33 1 0 df7126
-39 -16 0 6abe30
-38 -16 0 6abe30
-37 -16 0 6abe30
-36 -16 0 6abe30
-35 -16 0 6abe30
-34 -16 0 6abe30
-33 -16 0 6abe30
-33 -15 0 6abe30
-33 -14 0 6abe30
-33 -13 0 6abe30
-33 -12 0 6abe30
-33 -11 0 6abe30
-33 -10 0 6abe30
-33 -9 0 df7126
-33 -8 0 df7126
-33 -7 0 df7126
-33 -6 0 df7126
-33 -5 0 df7126
-33 -4 0 df7126
-33 -3 0 df7126
-41 -2 0 df7126
-33 -2 0 df7126
-41 -1 0 df7126
-33 -1 0 df7126
-58 0 0 df7126
-58 1 0 df7126
-50 1 0 df7126
-49 1 0 df7126
-58 2 0 df7126
-50 2 0 df7126
-58 3 0 df7126
-50 3 0 df7126
-58 4 0 df7126
-50 4 0 df7126
-58 5 0 df7126
-50 5 0 df7126
-64 6 0 df7126
-63 6 0 df7126
-62 6 0 df7126
-61 6 0 df7126
-60 6 0 df7126
-59 6 0 df7126
-58 6 0 df7126
-57 6 0 df7126
-56 6 0 df7126
-55 6 0 df7126
-54 6 0 df7126
-53 6 0 df7126
-52 6 0 df7126
-51 6 0 df7126
-50 6 0 df7126
-73 0 0 df7126
-69 0 0 df7126
-73 1 0 df7126
-69 1 0 df7126
-73 2 0 df7126
-69 2 0 df7126
-73 3 0 df7126
-69 3 0 df7126
-73 4 0 df7126
-69 4 0 df7126
-73 5 0 df7126
-69 5 0 df7126
-73 6 0 df7126
-72 6 0 df7126
-71 6 0 df7126
-70 6 0 df7126
-69 6 0 df7126
-68 6 0 df7126
-67 6 0 df7126
-66 6 0 df7126
-65 6 0 df7126
-73 7 0 df7126
-73 8 0 df7126
-73 9 0 8f563b
-80 10 0 6abe30
-79 10 0 6abe30
-78 10 0 6abe30
-77 10 0 6abe30
-76 10 0 6abe30
-75 10 0 6abe30
-74 10 0 6abe30
-73 10 0 6abe30
-69 -4 0 df7126
-68 -4 0 df7126
-67 -4 0 df7126
-66 -4 0 df7126
-65 -4 0 df7126
-73 -3 0 df7126
-69 -3 0 df7126
-73 -2 0 df7126
-69 -2 0 df7126
-73 -1 0 df7126
-69 -1 0 df7126
-64 -4 0 df7126
-63 -4 0 df7126
-62 -4 0 df7126
-61 -4 0 df7126
-60 -4 0 df7126
-59 -4 0 df7126
-58 -4 0 df7126
-58 -3 0 df7126
-58 -2 0 df7126
-58 -1 0 df7126
-44 23 0 6abe30
-43 23 0 6abe30
-42 23 0 6abe30
-41 23 0 6abe30
-40 23 0 6abe30
-39 23 0 6abe30
-38 23 0 6abe30
-37 23 0 6abe30
-36 23 0 6abe30
-35 23 0 6abe30
-34 23 0 6abe30
-33 23 0 6abe30
-44 24 0 6abe30
-44 25 0 6abe30
-44 26 0 6abe30
-44 27 0 6abe30
-44 28 0 6abe30
-44 29 0 6abe30
-44 30 0 6abe30
-33 30 0 df7126
-44 31 0 6abe30
-48 -25 0 6abe30
-47 -25 0 6abe30
-46 -25 0 6abe30
-45 -25 0 6abe30
-44 -25 0 6abe30
-43 -25 0 6abe30
-42 -25 0 6abe30
-41 -25 0 6abe30
-40 -25 0 6abe30
-39 -25 0 6abe30
-38 -25 0 6abe30
-37 -25 0 6abe30
-36 -25 0 6abe30
-35 -25 0 6abe30
-34 -25 0 6abe30
-33 -25 0 6abe30
-39 -24 0 6abe30
-39 -23 0 6abe30
-39 -22 0 6abe30
-39 -21 0 6abe30
-39 -20 0 6abe30
-39 -19 0 6abe30
-39 -18 0 6abe30
-39 -17 0 6abe30
-32 -25 0 6abe30
-31 -25 0 6abe30
-30 -25 0 6abe30
-29 -25 0 6abe30
-28 -25 0 6abe30
-27 -25 0 6abe30
-26 -25 0 6abe30
-25 -25 0 6abe30
-24 -25 0 6abe30
-23 -25 0 6abe30
-22 -25 0 6abe30
-21 -25 0 6abe30
-20 -25 0 6abe30
-19 -25 0 6abe30
-18 -25 0 6abe30
-17 -25 0 6abe30
-26 -24 0 6abe30
-26 -23 0 6abe30
-26 -22 0 6abe30
-26 -21 0 6abe30
-26 -20 0 6abe30
-26 -19 0 6abe30
-26 -18 0 6abe30
-26 -17 0 6abe30
-16 -25 0 6abe30
-15 -25 0 6abe30
-14 -25 0 6abe30
-13 -25 0 6abe30
-12 -25 0 6abe30
-11 -25 0 6abe30
-10 -25 0 6abe30
-9 -25 0 6abe30
-8 -25 0 6abe30
-7 -25 0 6abe30
-6 -25 0 6abe30
-5 -25 0 6abe30
-4 -25 0 6abe30
-3 -25 0 6abe30
-2 -25 0 6abe30
-1 -25 0 6abe30
0 -25 0 6abe30
1 -25 0 6abe30
2 -25 0 6abe30
3 -25 0 6abe30
4 -25 0 6abe30
5 -25 0 6abe30
6 -25 0 6abe30
7 -25 0 6abe30
8 -25 0 6abe30
9 -25 0 6abe30
10 -25 0 6abe30
11 -25 0 6abe30
12 -25 0 6abe30
13 -25 0 6abe30
14 -25 0 6abe30
15 -25 0 6abe30
16 -25 0 6abe30
17 -25 0 6abe30
18 -25 0 6abe30
19 -25 0 6abe30
20 -25 0 6abe30
21 -25 0 6abe30
22 -25 0 6abe30
23 -25 0 6abe30
24 -25 0 6abe30
25 -25 0 6abe30
26 -25 0 6abe30
27 -25 0 6abe30
28 -25 0 6abe30
29 -25 0 6abe30
30 -25 0 6abe30
31 -25 0 6abe30
32 -25 0 6abe30
33 -25 0 6abe30
34 -25 0 6abe30
35 -25 0 6abe30
36 -25 0 6abe30
37 -25 0 6abe30
38 -25 0 6abe30
39 -25 0 6abe30
40 -25 0 6abe30
41 -25 0 6abe30
42 -25 0 6abe30
43 -25 0 6abe30
44 -25 0 6abe30
45 -25 0 6abe30
46 -25 0 6abe30
47 -25 0 6abe30
55 -32 0 6abe30
55 -31 0 6abe30
55 -30 0 6abe30
55 -29 0 6abe30
55 -28 0 6abe30
55 -27 0 6abe30
55 -26 0 6abe30
48 -25 0 6abe30
49 -25 0 6abe30
50 -25 0 6abe30
51 -25 0 6abe30
52 -25 0 6abe30
53 -25 0 6abe30
54 -25 0 6abe30
55 -25 0 6abe30
55 -24 0 6abe30
55 -23 0 6abe30
55 -22 0 6abe30
55 -21 0 6abe30
55 -20 0 6abe30
55 -19 0 6abe30
55 -18 0 6abe30
55 -17 0 6abe30
55 -16 0 6abe30
55 -15 0 6abe30
55 -14 0 6abe30
55 -13 0 6abe30
55 -12 0 6abe30
55 -11 0 6abe30
55 -10 0 6abe30
55 -9 0 6abe30
55 -8 0 6abe30
55 -7 0 6abe30
55 -6 0 6abe30
55 -5 0 6abe30
55 -4 0 6abe30
55 -3 0 6abe30
55 -2 0 6abe30
55 -1 0 6abe30
55 0 0 6abe30
55 1 0 6abe30
55 2 0 6abe30
55 3 0 6abe30
55 4 0 6abe30
55 5 0 6abe30
55 6 0 6abe30
55 7 0 6abe30
55 8 0 6abe30
55 9 0 6abe30
48 10 0 6abe30
49 10 0 6abe30
50 10 0 6abe30
51 10 0 6abe30
52 10 0 6abe30
53 10 0 6abe30
54 10 0 6abe30
55 10 0 6abe30
55 11 0 6abe30
55 12 0 6abe30
55 13 0 6abe30
55 14 0 6abe30
55 15 0 6abe30
-81 -32 0 6abe30
-81 -31 0 6abe30
-81 -30 0 6abe30
-81 -29 0 6abe30
-81 -28 0 6abe30
-81 -27 0 6abe30
-81 -26 0 6abe30
-83 -25 0 6abe30
-82 -25 0 6abe30
-81 -25 0 6abe30
-83 -24 0 6abe30
-83 -23 0 6abe30
-83 -22 0 6abe30
-83 -21 0 6abe30
-83 -20 0 6abe30
-83 -19 0 6abe30
-83 -18 0 6abe30
-83 -17 0 6abe30
-80 -25 0 6abe30
-79 -25 0 6abe30
-78 -25 0 6abe30
-77 -25 0 6abe30
-76 -25 0 6abe30
-75 -25 0 6abe30
-74 -25 0 6abe30
-73 -25 0 6abe30
-72 -25 0 6abe30
-71 -25 0 6abe30
-70 -25 0 6abe30
-69 -25 0 6abe30
-68 -25 0 6abe30
-67 -25 0 6abe30
-66 -25 0 6abe30
-65 -25 0 6abe30
-58 -32 0 6abe30
-58 -31 0 6abe30
-58 -30 0 6abe30
-58 -29 0 6abe30
-58 -28 0 6abe30
-58 -27 0 6abe30
-58 -26 0 6abe30
-64 -25 0 6abe30
-63 -25 0 6abe30
-62 -25 0 6abe30
-61 -25 0 6abe30
-60 -25 0 6abe30
-59 -25 0 6abe30
-58 -25 0 6abe30
-57 -25 0 6abe30
-56 -25 0 6abe30
-55 -25 0 6abe30
-54 -25 0 6abe30
-53 -25 0 6abe30
-52 -25 0 6abe30
-51 -25 0 6abe30
-50 -25 0 6abe30
-49 -25 0 6abe30
-81 -75 0 6abe30
-81 -74 0 6abe30
-81 -73 0 6abe30
-81 -72 0 6abe30
-81 -71 0 6abe30
-81 -70 0 6abe30
-81 -69 0 6abe30
-81 -68 0 6abe30
-81 -67 0 6abe30
-81 -66 0 6abe30
-81 -65 0 6abe30
-81 -64 0 6abe30
-81 -63 0 6abe30
-81 -62 0 6abe30
